rank,school,year
554,Flinders University,2021
555,National Central University,2021
556,Clemson University,2021
557,Indian Institute of Technology Madras,2021
558,Mayo Clinic College of Medicine and Science,2021
559,Brunel University London,2021
560,San Diego State University,2021
561,Medical University of Graz,2021
562,Southwest University,2021
563,University of Graz,2021
564,University of Sherbrooke,2021
565,University of Jyväskylä,2021
566,Institut Agro,2021
567,Indian Institute of Technology Bombay,2021
568,China University of Petroleum,2021
569,University of Texas at Arlington,2021
570,Chang Gung University,2021
571,University of Delhi,2021
572,Palacký University Olomouc,2021
573,Middle East Technical University,2021
574,Illinois Institute of Technology,2021
575,University of Iceland,2021
576,Nanjing Tech University,2021
577,University of Minho,2021
578,"Institute of Cancer Research, University of London",2021
579,University of Udine,2021
580,University of Pretoria,2021
581,Auburn University,2021
582,Swansea University,2021
583,University of Wisconsin–Milwaukee,2021
584,University of Burgundy,2021
585,University of Palermo,2021
586,Concordia University,2021
587,Masaryk University,2021
588,Bocconi University,2021
589,College of William & Mary,2021
590,University of Nebraska Medical Center,2021
591,Eötvös Loránd University,2021
592,Haverford College,2021
593,Central China Normal University,2021
594,Czech Technical University in Prague,2021
595,Jiangsu University,2021
596,University Paris-Est Créteil,2021
597,Brigham Young University,2021
598,CINVESTAV,2021
599,Polytechnic University of Turin,2021
600,University of Salerno,2021
601,Beijing Jiaotong University,2021
602,Jiangnan University,2021
603,University of Aveiro,2021
604,University of Cagliari,2021
605,University of Eastern Piedmont,2021
606,AGH University of Science and Technology,2021
607,Federal University of São Paulo,2021
608,Nanjing University of Information Science and Technology,2021
609,Comenius University in Bratislava,2021
610,University of St.Gallen,2021
611,Jeonbuk National University,2021
612,Sharif University of Technology,2021
613,National Research Nuclear University MEPhI,2021
614,"St George's, University of London",2021
615,Utah State University,2021
616,University of Bayreuth,2021
617,University of Québec at Montreal,2021
618,Second Military Medical University,2021
619,"National University of Ireland, Galway",2021
620,Rio de Janeiro State University,2021
621,National University of La Plata,2021
622,University of Brescia,2021
623,Indian Institute of Technology Delhi,2021
624,Toulouse INP,2021
625,University of La Laguna,2021
626,Institut national des sciences appliquées de Lyon,2021
627,Konkuk University,2021
628,Southern Medical University,2021
629,Bielefeld University,2021
630,Cold Spring Harbor Laboratory,2021
631,University of Plymouth,2021
632,Henryk Niewodniczański Institute of Nuclear Physics,2021
633,North China Electric Power University,2021
634,Ocean University of China,2021
635,Catholic University of Korea,2021
636,Courtauld Institute of Art,2021
637,Boğaziçi University,2021
638,China University of Mining and Technology,2021
639,Memorial University of Newfoundland,2021
640,National Polytechnic Institute,2021
641,University of New Hampshire,2021
642,Tilburg University,2021
643,Tehran University of Medical Sciences,2021
644,Southern University of Science and Technology,2021
645,Renmin University of China,2021
646,Nanjing Normal University,2021
647,Hefei University of Technology,2021
648,Donghua University,2021
649,University of Cantabria,2021
650,Hacettepe University,2021
651,Saarland University,2021
652,Ankara University,2021
653,Binghamton University,2021
654,Chung-Ang University,2021
655,Shinshu University,2021
656,University of Macau,2021
657,Swinburne University of Technology,2021
658,University of Campania Luigi Vanvitelli,2021
659,Sciences Po,2021
660,Loughborough University,2021
661,Loyola University Chicago,2021
662,University of Texas Medical Branch,2021
663,Tokyo Metropolitan University,2021
664,University of Kent,2021
665,Roma Tre University,2021
666,University of Calabria,2021
667,Massey University,2021
668,University of Haifa,2021
669,Kanazawa University,2021
670,University of Wyoming,2021
671,University of Málaga,2021
672,Tokyo Medical and Dental University,2021
673,Istanbul University,2021
674,University of Johannesburg,2021
675,University of Texas at San Antonio,2021
676,University of Ioannina,2021
677,Zhejiang University of Technology,2021
678,University of Szeged,2021
679,University of Fribourg,2021
680,"University of Maine, Orono",2021
681,Tianjin Medical University,2021
682,Istanbul Technical University,2021
683,Semmelweis University,2021
684,Nanchang University,2021
685,"University of Nevada, Reno",2021
686,Warsaw University of Technology,2021
687,Vilnius University,2021
688,National University of Defense Technology,2021
689,Chungnam National University,2021
690,Yokohama City University,2021
691,Southwest Jiaotong University,2021
692,University of Salamanca,2021
693,Hong Kong Baptist University,2021
694,Isfahan University of Technology,2021
695,University of Debrecen,2021
696,National Chung Hsing University,2021
697,Oswaldo Cruz Foundation,2021
698,Victoria University of Wellington,2021
699,Heriot-Watt University,2021
700,University of Oklahoma Health Sciences Center,2021
701,Inha University,2021
702,University of Crete,2021
703,Kumamoto University,2021
704,Otto von Guericke University Magdeburg,2021
705,King Fahd University of Petroleum and Minerals,2021
706,Northeast Normal University,2021
707,University of Greifswald,2021
708,Indian Institute of Technology Kharagpur,2021
709,Panjab University,2021
710,"University of North Texas, Denton",2021
711,South China Normal University,2021
712,Taipei Medical University,2021
713,Mississippi State University,2021
714,University of Arkansas for Medical Sciences,2021
715,University of Missouri-Kansas City,2021
716,"Birkbeck, University of London",2021
717,International School for Advanced Studies,2021
718,Budker Institute of Nuclear Physics of the Siberian Branch of the Russian Academy of Sciences,2021
719,Montana State University - Bozeman,2021
720,University of Angers,2021
721,Yangzhou University,2021
722,Niigata University,2021
723,Qingdao University,2021
724,Central Party School of the Communist Party of China,2021
725,American University of Beirut,2021
726,Kangwon National University,2021
727,"University of Maryland, Baltimore County",2021
728,Federal University of Santa Catarina,2021
729,University of Massachusetts Boston,2021
730,Bangor University,2021
731,Beijing University of Technology,2021
732,Antioch College,2021
733,Ajou University,2021
734,Army Medical University,2021
735,Tokyo University of Science,2021
736,University of Vigo,2021
737,Beijing University of Posts and Telecommunications,2021
738,University of Alaska Fairbanks,2021
739,Augusta University,2021
740,University of Salento,2021
741,Technical University of Braunschweig,2021
742,Quaid-i-Azam University,2021
743,SUNY Downstate Medical Center,2021
744,Guangdong University of Technology,2021
745,Osaka City University,2021
746,"Northwest University, Xi'an",2021
747,University of Castilla–La Mancha,2021
748,Kitasato University,2021
749,University of Cyprus,2021
750,"University of the Andes, Colombia",2021
751,University of Idaho,2021
752,Kent State University,2021
753,Amirkabir University of Technology,2021
754,Nanjing University of Posts and Telecommunications,2021
755,Yerevan Physics Institute,2021
756,University of Essex,2021
757,South China Agricultural University,2021
758,Sejong University,2021
759,Shaanxi Normal University,2021
760,Air Force Medical University,2021
761,University of Wuppertal,2021
762,Institute for Nuclear Research of the Russian Academy of Sciences,2021
