rank,school,year
1783,Polytechnic Institute of Porto,2021
1784,Xinjiang Medical University,2021
1785,University of Peshawar,2021
1786,University of Zielona Góra,2021
1787,University of Bialystok,2021
1788,University of Agriculture in Krakow,2021
1789,Federal University of Campina Grande,2021
1790,"Goldsmiths, University of London",2021
1791,University of Mazandaran,2021
1792,King Khalid University,2021
1793,Nara Women's University,2021
1794,A.V. Nikolaev Institute of Inorganic Chemistry of the Siberian Branch of the Russian Academy of Sciences,2021
1795,Guilin University of Technology,2021
1796,Wellesley College,2021
1797,Kawasaki Medical School,2021
1798,Xinyang Normal University,2021
1799,Franklin & Marshall College,2021
1800,Tunghai University,2021
1801,Sichuan Normal University,2021
1802,Minia University,2021
1803,University of the Philippines Diliman,2021
1804,Federal University of Triângulo Mineiro,2021
1805,Alfaisal University,2021
1806,University of Winnipeg,2021
1807,Pamukkale University,2021
1808,Chubu University,2021
1809,"Institute of Physical Chemistry, Polish Academy of Sciences",2021
1810,Kyoto Sangyo University,2021
1811,Karlstad University,2021
1812,Kaunas University of Technology,2021
1813,Federal University of Ouro Preto,2021
1814,Xi'an Jiaotong-Liverpool University,2021
1815,University of Valle,2021
1816,University of Dhaka,2021
1817,University of Nova Gorica,2021
1818,Embry-Riddle Aeronautical University,2021
1819,University of Science and Technology Houari Boumediene,2021
1820,Autonomous University of Sinaloa,2021
1821,National University of Comahue,2021
1822,Bahauddin Zakariya University,2021
1823,Xinxiang Medical University,2021
1824,PETRONAS University of Technology,2021
1825,Industrial University of Santander,2021
1826,Taibah University,2021
1827,Sakarya University,2021
1828,Guangdong Pharmaceutical University,2021
1829,National Defense Medical College,2021
1830,University of Toulon,2021
1831,University of Burgos,2021
1832,Hamad Bin Khalifa University,2021
1833,University of Madras,2021
1834,Wrocław University of Environmental and Life Sciences,2021
1835,University of Alaska Anchorage,2021
1836,International University of Health and Welfare,2021
1837,University of Talca,2021
1838,Florida Agricultural and Mechanical University,2021
1839,University of the Highlands and Islands,2021
1840,Malmö University,2021
1841,M.M. Shemyakin and Y.A. Ovchinnikov Institute of Bioorganic Chemistry of the Russian Academy of Sciences,2021
1842,Rajiv Gandhi University of Health Sciences,2021
1843,"Indian Institute of Science Education and Research, Bhopal",2021
1844,ESCP Europe,2021
1845,Drew University,2021
1846,Central South University of Forestry and Technology,2021
1847,Bond University,2021
1848,Annamalai University,2021
1849,Mediterranean University of Reggio Calabria,2021
1850,Osaka Medical College,2021
1851,Federal University of Alagoas,2021
1852,Near East University,2021
1853,Government College University Faisalabad,2021
1854,Başkent University,2021
1855,Far Eastern Federal University,2021
1856,Necmettin Erbakan University,2021
1857,University of La Réunion,2021
1858,"Institute of Chemical Technology, Mumbai",2021
1859,IHE Delft Institute for Water Education,2021
1860,Interdisciplinary Center Herzliya,2021
1861,University of Nigeria,2021
1862,Kettering University,2021
1863,Linyi University,2021
1864,N.D. Zelinsky Institute of Organic Chemistry of the Russian Academy of Sciences,2021
1865,Cracow University of Technology,2021
1866,Benha University,2021
1867,Le Mans University,2021
1868,Duquesne University,2021
1869,"West Pomeranian University of Technology, Szczecin",2021
1870,Mekelle University,2021
1871,Federal Rural University of Rio de Janeiro,2021
1872,Muhimbili University of Health and Allied Sciences,2021
1873,Indian Institute of Technology Gandhinagar,2021
1874,University of Karachi,2021
1875,Hanbat National University,2021
1876,College of Staten Island,2021
1877,Southwest Medical University,2021
1878,National Yunlin University of Science and Technology,2021
1879,University of Northern British Columbia,2021
1880,University of Ostrava,2021
1881,Sohag University,2021
1882,Institute of Ecology (INECOL),2021
1883,Technical University of Ostrava,2021
1884,University of Richmond,2021
1885,Shiraz University of Technology,2021
1886,University of Kurdistan,2021
1887,Liaoning Normal University,2021
1888,Jönköping University,2021
1889,Wichita State University,2021
1890,University of Roehampton,2021
1891,"Indian Institute of Engineering Science and Technology, Shibpur",2021
1892,National Changhua University of Education,2021
1893,Çağ University,2021
1894,Liaoning University of Technology,2021
1895,Gebze Technical University,2021
1896,Van Yüzüncü Yıl University,2021
1897,National Chiayi University,2021
1898,V.S. Sobolev Institute of Geology and Mineralogy of the Siberian Branch of the Russian Academy of Sciences,2021
1899,Technological University Dublin,2021
1900,Kanazawa Medical University,2021
1901,Amity University,2021
1902,University of West Bohemia,2021
1903,Jiaxing University,2021
1904,Jilin Agricultural University,2021
1905,Chongqing Technology and Business University,2021
1906,Edinburgh Napier University,2021
1907,Cheikh Anta Diop University of Dakar,2021
1908,Rosalind Franklin University of Medicine and Science,2021
1909,Federal University of Piauí,2021
1910,Nagaoka University of Technology,2021
1911,University of Rzeszów,2021
1912,Autonomous University of Chile,2021
1913,Chongqing Normal University,2021
1914,Aoyama Gakuin University,2021
1915,Kansai University,2021
1916,Tezpur University,2021
1917,Shanghai University of Engineering Science,2021
1918,Imam Abdulrahman Bin Faisal University,2021
1919,Harbin Normal University,2021
1920,Sunchon National University,2021
1921,Kermanshah University of Medical Sciences,2021
1922,Nazarbayev University,2021
1923,Siberian Federal University,2021
1924,Autonomous University of the State of Morelos,2021
1925,Clausthal University of Technology,2021
1926,University of Colorado Colorado Springs,2021
1927,Ningxia Medical University,2021
1928,"Victor Babeș University of Medicine and Pharmacy, Timișoara",2021
1929,Federal Scientific Research Centre «Crystallography and Photonics» of the Russian Academy of Sciences,2021
1930,Sivas Cumhuriyet University,2021
1931,Central University of Finance and Economics,2021
1932,Daegu University,2021
1933,Çanakkale Onsekiz Mart University,2021
1934,"Graduate School & Training Center, Research Institute of Petroleum Exploration and Development",2021
1935,"University of Djillali Liabès, Sidi Bel-Abbès",2021
1936,Center for Scientific Research and Higher Education of Ensenada,2021
1937,Dicle University,2021
1938,Lebanese University,2021
1939,University of San Diego,2021
1940,Jimma University,2021
1941,İnönü University,2021
1942,Gakushuin University,2021
1943,Baqiyatallah University of Medical Sciences,2021
1944,Ss. Cyril and Methodius University in Skopje,2021
1945,Federal University of Amazonas,2021
1946,University of Québec at Chicoutimi,2021
1947,"Indian Institute of Science Education and Research, Thiruvananthapuram",2021
1948,Hubei University of Technology,2021
1949,University of Pannonia,2021
1950,Tshwane University of Technology,2021
1951,Punjab Agricultural University,2021
1952,Air Force Engineering University,2021
1953,Reed College,2021
1954,Hanoi University of Science and Technology,2021
1955,Leeds Beckett University,2021
1956,Tokyo University of Pharmacy and Life Sciences,2021
1957,Guizhou Medical University,2021
1958,Northeast Ohio Medical University,2021
1959,Josip Juraj Strossmayer University of Osijek,2021
1960,SRM Institute of Science and Technology,2021
1961,Dongbei University of Finance and Economics,2021
1962,University of Bergamo,2021
1963,University of Wolverhampton,2021
1964,Chengdu University of Information Technology,2021
1965,Ahvaz Jundishapur University of Medical Sciences,2021
1966,B. Verkin Institute for Low Temperature Physics and Engineering of the National Academy of Sciences of Ukraine,2021
1967,Reykjavík University,2021
1968,Jiangxi Agricultural University,2021
1969,Dalarna University,2021
1970,Open University of the Netherlands,2021
1971,Vilnius Gediminas Technical University,2021
1972,University of Veracruz,2021
1973,Mazandaran University of Medical Sciences,2021
1974,Danube University Krems,2021
1975,Shahrood University of Technology,2021
1976,National University of Tucumán,2021
1977,University of International Business and Economics,2021
1978,Institute of Problems of Chemical Physics of the Russian Academy of Sciences,2021
1979,SASTRA,2021
1980,Pondicherry University,2021
1981,Sam Houston State University,2021
1982,Sophia University,2021
1983,University of Sousse,2021
1984,Shanxi Normal University,2021
1985,National Institute of Mental Health and Neurosciences,2021
1986,Polytechnic Institute of Bragança,2021
1987,East China University of Technology,2021
1988,Shahid Chamran University of Ahvaz,2021
1989,University of Hawaii at Hilo,2021
1990,University of North Florida,2021
1991,Trinity College,2021
1992,Riga Technical University,2021
1993,Sonoma State University,2021
1994,"National Institute of Pharmaceutical Education and Research, S.A.S. Nagar",2021
1995,Gadjah Mada University,2021
1996,Santa Catarina State University,2021
1997,Yancheng Institute of Technology,2021
1998,Xi'an University of Science and Technology,2021
1999,CEU San Pablo University,2021
2000,Huzhou University,2021
