排名,学校,毕业后五年月薪
383,江苏经贸职业技术学院,6765
384,湖南中医药高等专科学校,6765
385,嘉兴职业技术学院,6764
386,四川水利职业技术学院,6758
387,武汉警官职业学院,6756
388,广州番禺职业技术学院,6755
389,黑龙江信息技术职业学院,6751
390,常州工程职业技术学院,6750
391,内蒙古电子信息职业技术学院,6749
392,湖州职业技术学院,6749
393,四川工程职业技术学院,6749
394,阜阳职业技术学院,6742
395,大连商务职业学院,6732
396,新疆建设职业技术学院,6732
397,湄洲湾职业技术学院,6730
398,黔东南民族职业技术学院,6729
399,湖北三峡职业技术学院,6728
400,新疆师范高等专科学校,6726
401,武汉信息传播职业技术学院,6725
402,河南职业技术学院,6725
403,广东女子职业技术学院,6722
404,福州职业技术学院,6722
405,安徽中医药高等专科学校,6721
406,安徽绿海商务职业学院,6715
407,浙江东方职业技术学院,6715
408,河南水利与环境职业学院,6710
409,江西农业工程职业学院,6710
410,福建信息职业技术学院,6710
411,安徽林业职业技术学院,6708
412,遵义职业技术学院,6708
413,信阳职业技术学院,6704
414,广西机电职业技术学院,6702
415,宁波幼儿师范高等专科学校,6700
416,云南林业职业技术学院,6699
417,安徽电气工程职业技术学院,6699
418,无锡职业技术学院,6699
419,莱芜职业技术学院,6697
420,长春医学高等专科学校,6697
421,南京视觉艺术职业学院,6696
422,淮南职业技术学院,6695
423,湖北交通职业技术学院,6693
424,广西英华国际职业学院,6693
425,广东理工职业学院,6691
426,河北化工医药职业技术学院,6687
427,硅湖职业技术学院,6687
428,随州职业技术学院,6687
429,惠州经济职业技术学院,6687
430,南京科技职业学院,6684
431,唐山科技职业技术学院,6684
432,广州松田职业学院,6681
433,泰州职业技术学院,6679
434,湖南石油化工职业技术学院,6677
435,焦作师范高等专科学校,6675
436,常州信息职业技术学院,6674
437,湖南环境生物职业技术学院,6672
438,南阳医学高等专科学校,6672
439,青海交通职业技术学院,6670
440,湖北水利水电职业技术学院,6669
441,宜春职业技术学院,6669
442,唐山职业技术学院,6669
443,成都职业技术学院,6667
444,江西经济管理职业学院,6666
445,漯河医学高等专科学校,6665
446,常德职业技术学院,6664
447,福建教育学院,6660
448,黔南民族医学高等专科学校,6659
449,广西职业技术学院,6656
450,宿州职业技术学院,6656
451,内蒙古科技职业学院,6655
452,山东畜牧兽医职业学院,6654
453,长春职业技术学院,6653
454,黑龙江商业职业学院,6652
455,广州华南商贸职业学院,6652
