省份,年份,文理综合,当前分数人数,分数,总人数
xxx,2021,xxx,625,406,111929
xxx,2021,xxx,576,405,112505
xxx,2021,xxx,611,404,113116
xxx,2021,xxx,636,403,113752
xxx,2021,xxx,643,402,114395
xxx,2021,xxx,609,401,115004
xxx,2021,xxx,639,400,115643
xxx,2021,xxx,637,399,116280
xxx,2021,xxx,584,398,116864
xxx,2021,xxx,559,397,117423
xxx,2021,xxx,585,396,118008
xxx,2021,xxx,591,395,118599
xxx,2021,xxx,598,394,119197
xxx,2021,xxx,594,393,119791
xxx,2021,xxx,589,392,120380
xxx,2021,xxx,556,391,120936
xxx,2021,xxx,589,390,121525
xxx,2021,xxx,584,389,122109
xxx,2021,xxx,572,388,122681
xxx,2021,xxx,540,387,123221
xxx,2021,xxx,537,386,123758
xxx,2021,xxx,540,385,124298
xxx,2021,xxx,570,384,124868
xxx,2021,xxx,565,383,125433
xxx,2021,xxx,489,382,125922
xxx,2021,xxx,556,381,126478
xxx,2021,xxx,523,380,127001
xxx,2021,xxx,523,379,127524
xxx,2021,xxx,479,378,128003
xxx,2021,xxx,534,377,128537
xxx,2021,xxx,523,376,129060
xxx,2021,xxx,522,375,129582
xxx,2021,xxx,517,374,130099
xxx,2021,xxx,496,373,130595
xxx,2021,xxx,488,372,131083
xxx,2021,xxx,500,371,131583
xxx,2021,xxx,505,370,132088
xxx,2021,xxx,460,369,132548
xxx,2021,xxx,441,368,132989
xxx,2021,xxx,486,367,133475
xxx,2021,xxx,451,366,133926
xxx,2021,xxx,473,365,134399
xxx,2021,xxx,470,364,134869
xxx,2021,xxx,447,363,135316
xxx,2021,xxx,426,362,135742
xxx,2021,xxx,419,361,136161
xxx,2021,xxx,458,360,136619
xxx,2021,xxx,441,359,137060
xxx,2021,xxx,465,358,137525
xxx,2021,xxx,421,357,137946
xxx,2021,xxx,440,356,138386
xxx,2021,xxx,463,355,138849
xxx,2021,xxx,441,354,139290
xxx,2021,xxx,432,353,139722
xxx,2021,xxx,436,352,140158
xxx,2021,xxx,426,351,140584
xxx,2021,xxx,374,350,140958
xxx,2021,xxx,434,349,141392
xxx,2021,xxx,434,348,141826
xxx,2021,xxx,376,347,142202
xxx,2021,xxx,435,346,142637
xxx,2021,xxx,385,345,143022
xxx,2021,xxx,365,344,143387
xxx,2021,xxx,397,343,143784
xxx,2021,xxx,376,342,144160
xxx,2021,xxx,361,341,144521
xxx,2021,xxx,368,340,144889
xxx,2021,xxx,349,339,145238
xxx,2021,xxx,348,338,145586
xxx,2021,xxx,349,337,145935
xxx,2021,xxx,360,336,146295
xxx,2021,xxx,357,335,146652
xxx,2021,xxx,332,334,146984
xxx,2021,xxx,341,333,147325
xxx,2021,xxx,305,332,147630
xxx,2021,xxx,366,331,147996
xxx,2021,xxx,332,330,148328
xxx,2021,xxx,338,329,148666
xxx,2021,xxx,309,328,148975
xxx,2021,xxx,323,327,149298
xxx,2021,xxx,298,326,149596
xxx,2021,xxx,318,325,149914
xxx,2021,xxx,276,324,150190
xxx,2021,xxx,288,323,150478
xxx,2021,xxx,316,322,150794
xxx,2021,xxx,269,321,151063
xxx,2021,xxx,296,320,151359
xxx,2021,xxx,281,319,151640
xxx,2021,xxx,273,318,151913
xxx,2021,xxx,247,317,152160
xxx,2021,xxx,266,316,152426
xxx,2021,xxx,245,315,152671
xxx,2021,xxx,239,314,152910
xxx,2021,xxx,251,313,153161
xxx,2021,xxx,275,312,153436
xxx,2021,xxx,239,311,153675
xxx,2021,xxx,254,310,153929
xxx,2021,xxx,223,309,154152
xxx,2021,xxx,219,308,154371
xxx,2021,xxx,234,307,154605
xxx,2021,xxx,207,306,154812
xxx,2021,xxx,222,305,155034
xxx,2021,xxx,207,304,155241
xxx,2021,xxx,234,303,155475
xxx,2021,xxx,232,302,155707
xxx,2021,xxx,208,301,155915
xxx,2021,xxx,198,300,156113
xxx,2021,xxx,198,299,156311
xxx,2021,xxx,192,298,156503
xxx,2021,xxx,207,297,156710
xxx,2021,xxx,205,296,156915
xxx,2021,xxx,202,295,157117
xxx,2021,xxx,180,294,157297
xxx,2021,xxx,171,293,157468
xxx,2021,xxx,169,292,157637
xxx,2021,xxx,168,291,157805
xxx,2021,xxx,154,290,157959
xxx,2021,xxx,158,289,158117
xxx,2021,xxx,182,288,158299
xxx,2021,xxx,177,287,158476
xxx,2021,xxx,161,286,158637
xxx,2021,xxx,142,285,158779
xxx,2021,xxx,152,284,158931
xxx,2021,xxx,173,283,159104
xxx,2021,xxx,137,282,159241
xxx,2021,xxx,158,281,159399
xxx,2021,xxx,121,280,159520
xxx,2021,xxx,138,279,159658
xxx,2021,xxx,146,278,159804
xxx,2021,xxx,122,277,159926
xxx,2021,xxx,143,276,160069
xxx,2021,xxx,127,275,160196
xxx,2021,xxx,112,274,160308
xxx,2021,xxx,114,273,160422
xxx,2021,xxx,106,272,160528
xxx,2021,xxx,133,271,160661
xxx,2021,xxx,109,270,160770
xxx,2021,xxx,106,269,160876
xxx,2021,xxx,95,268,160971
xxx,2021,xxx,102,267,161073
xxx,2021,xxx,92,266,161165
xxx,2021,xxx,88,265,161253
xxx,2021,xxx,116,264,161369
xxx,2021,xxx,108,263,161477
xxx,2021,xxx,67,262,161544
xxx,2021,xxx,102,261,161646
xxx,2021,xxx,103,260,161749
xxx,2021,xxx,82,259,161831
xxx,2021,xxx,77,258,161908
xxx,2021,xxx,67,257,161975
xxx,2021,xxx,96,256,162071
xxx,2021,xxx,91,255,162162
xxx,2021,xxx,85,254,162247
xxx,2021,xxx,74,253,162321
xxx,2021,xxx,73,252,162394
xxx,2021,xxx,57,251,162451
xxx,2021,xxx,75,250,162526
xxx,2021,xxx,75,249,162601
xxx,2021,xxx,67,248,162668
xxx,2021,xxx,73,247,162741
xxx,2021,xxx,54,246,162795
xxx,2021,xxx,57,245,162852
xxx,2021,xxx,58,244,162910
xxx,2021,xxx,46,243,162956
xxx,2021,xxx,55,242,163011
xxx,2021,xxx,58,241,163069
xxx,2021,xxx,58,240,163127
xxx,2021,xxx,50,239,163177
xxx,2021,xxx,49,238,163226
xxx,2021,xxx,69,237,163295
xxx,2021,xxx,45,236,163340
xxx,2021,xxx,40,235,163380
xxx,2021,xxx,47,234,163427
xxx,2021,xxx,34,233,163461
xxx,2021,xxx,29,232,163490
xxx,2021,xxx,48,231,163538
xxx,2021,xxx,43,230,163581
xxx,2021,xxx,29,229,163610
xxx,2021,xxx,32,228,163642
xxx,2021,xxx,39,227,163681
xxx,2021,xxx,38,226,163719
xxx,2021,xxx,29,225,163748
xxx,2021,xxx,38,224,163786
xxx,2021,xxx,22,223,163808
xxx,2021,xxx,21,222,163829
xxx,2021,xxx,26,221,163855
xxx,2021,xxx,22,220,163877
xxx,2021,xxx,25,219,163902
xxx,2021,xxx,22,218,163924
xxx,2021,xxx,19,217,163943
xxx,2021,xxx,24,216,163967
xxx,2021,xxx,17,215,163984
xxx,2021,xxx,19,214,164003
xxx,2021,xxx,26,213,164029
xxx,2021,xxx,24,212,164053
xxx,2021,xxx,20,211,164073
xxx,2021,xxx,16,210,164089
xxx,2021,xxx,13,209,164102
xxx,2021,xxx,18,208,164120
xxx,2021,xxx,17,207,164137
xxx,2021,xxx,13,206,164150
xxx,2021,xxx,8,205,164158
xxx,2021,xxx,17,204,164175
xxx,2021,xxx,18,203,164193
xxx,2021,xxx,17,202,164210
xxx,2021,xxx,9,201,164219
xxx,2021,xxx,13,200,164232
xxx,2021,xxx,98,190,164330
xxx,2021,xxx,49,180,164379
xxx,2021,xxx,39,170,164418
xxx,2021,xxx,24,160,164442
xxx,2021,xxx,16,150,164458
xxx,2021,xxx,9,140,164467
xxx,2021,xxx,11,130,164478
xxx,2021,xxx,5,120,164483
xxx,2021,xxx,8,110,164491
xxx,2021,xxx,3,100,164494
